A,Corridor 4,0.994656173980087%
A,Corridor 6,0.40676884629188986%
A,Interior 1,8.08918340489452%
A,Interior 2,1.7284352692517315%
A,Interior 3,1.2791285043933693%
A,Parks,3.254150770335119%
A,Transit 10,0.020271976816834382%
A,Transit 15,0.01728102941762931%
B,Corridor 4,5.073311444029405%
B,Corridor 6,2.095324816887554%
B,Interior 1,13.468568466109243%
B,Interior 2,9.160939556276338%
B,Interior 3,6.046698658726255%
B,Parks,2.9477448256609993%
B,Transit 10,0.4496390923471626%
B,Transit 15,0.10036290161777021%
B,Transit 20,0.09105773193135443%
B,Transit 30,0.015951719462427055%
B,Transportation,0.03489438632405918%
C,Core 50,0.036556023768061996%
C,Corridor 4,5.117843327528679%
C,Corridor 6,3.340223589934465%
C,Interior 1,3.137836149254922%
C,Interior 2,5.49536735480612%
C,Interior 3,6.728966993233812%
C,Parks,1.5336913608146012%
C,Production,1.2110013691892538%
C,Transit 10,1.4585853483456737%
C,Transit 15,0.09305169686415782%
C,Transit 20,0.3363154186661704%
C,Transit 30,0.2705145758836588%
C,Transportation,0.19075597857152352%
D,Core 50,0.02126895928323607%
D,Corridor 4,2.316654924428729%
D,Corridor 6,2.4412777327289406%
D,Interior 1,2.717441875922209%
D,Interior 2,1.2382522232709001%
D,Interior 3,1.9471067568825022%
D,Parks,1.4788573251625081%
D,Production,0.27450250574926555%
D,Transit 10,0.8487644063966395%
D,Transit 15,0.5044731279992556%
D,Transit 20,0.40610419131428876%
D,Transit 30,1.2100043867228523%
D,Transportation,0.37021282252382787%
